Country;City;AvgTemperatureFahrenheit;Date;Month;Year;AvgTemperatureCelsius
Argentina;Buenos Aires;79.5;01/01/2000;1;2000;
Argentina;Buenos Aires;78.8;02/01/2000;1;2000;
Argentina;Buenos Aires;74.3;03/01/2000;1;2000;
Argentina;Buenos Aires;79.0;04/01/2000;1;2000;
Argentina;Buenos Aires;77.1;05/01/2000;1;2000;
Argentina;Buenos Aires;78.4;06/01/2000;1;2000;
Argentina;Buenos Aires;80.5;07/01/2000;1;2000;
Argentina;Buenos Aires;75.8;08/01/2000;1;2000;
Argentina;Buenos Aires;76.2;09/01/2000;1;2000;
Argentina;Buenos Aires;72.7;10/01/2000;1;2000;
Argentina;Buenos Aires;76.8;11/01/2000;1;2000;
Argentina;Buenos Aires;83.6;12/01/2000;1;2000;
Argentina;Buenos Aires;76.6;13/01/2000;1;2000;
Argentina;Buenos Aires;78.9;14/01/2000;1;2000;
Argentina;Buenos Aires;76.5;15/01/2000;1;2000;
Argentina;Buenos Aires;78.6;16/01/2000;1;2000;
Argentina;Buenos Aires;74.0;17/01/2000;1;2000;
Argentina;Buenos Aires;74.1;18/01/2000;1;2000;
Argentina;Buenos Aires;82.0;19/01/2000;1;2000;
Argentina;Buenos Aires;88.1;20/01/2000;1;2000;
Argentina;Buenos Aires;78.6;21/01/2000;1;2000;
Argentina;Buenos Aires;71.4;22/01/2000;1;2000;
Argentina;Buenos Aires;72.7;23/01/2000;1;2000;
Argentina;Buenos Aires;74.8;24/01/2000;1;2000;
Argentina;Buenos Aires;72.5;25/01/2000;1;2000;
Argentina;Buenos Aires;73.0;26/01/2000;1;2000;
Argentina;Buenos Aires;76.1;27/01/2000;1;2000;
Argentina;Buenos Aires;80.6;28/01/2000;1;2000;
Argentina;Buenos Aires;83.3;29/01/2000;1;2000;
Argentina;Buenos Aires;83.2;30/01/2000;1;2000;
Argentina;Buenos Aires;79.2;31/01/2000;1;2000;
Argentina;Buenos Aires;78.7;01/02/2000;2;2000;
Argentina;Buenos Aires;73.9;02/02/2000;2;2000;
Argentina;Buenos Aires;72.5;03/02/2000;2;2000;
Argentina;Buenos Aires;76.8;04/02/2000;2;2000;
Argentina;Buenos Aires;82.6;05/02/2000;2;2000;
Argentina;Buenos Aires;82.3;06/02/2000;2;2000;
Argentina;Buenos Aires;79.6;07/02/2000;2;2000;
Argentina;Buenos Aires;77.5;08/02/2000;2;2000;
Argentina;Buenos Aires;76.3;09/02/2000;2;2000;
Argentina;Buenos Aires;79.1;10/02/2000;2;2000;
Argentina;Buenos Aires;75.9;11/02/2000;2;2000;
Argentina;Buenos Aires;71.9;12/02/2000;2;2000;
Argentina;Buenos Aires;68.6;13/02/2000;2;2000;
Argentina;Buenos Aires;65.7;14/02/2000;2;2000;
Argentina;Buenos Aires;67.0;15/02/2000;2;2000;
Argentina;Buenos Aires;69.4;16/02/2000;2;2000;
Argentina;Buenos Aires;73.0;17/02/2000;2;2000;
Argentina;Buenos Aires;75.9;18/02/2000;2;2000;
Argentina;Buenos Aires;76.5;19/02/2000;2;2000;
Argentina;Buenos Aires;77.2;20/02/2000;2;2000;
Argentina;Buenos Aires;73.2;21/02/2000;2;2000;
Argentina;Buenos Aires;75.8;22/02/2000;2;2000;
Argentina;Buenos Aires;76.7;23/02/2000;2;2000;
Argentina;Buenos Aires;81.1;24/02/2000;2;2000;
Argentina;Buenos Aires;79.3;25/02/2000;2;2000;
Argentina;Buenos Aires;79.2;26/02/2000;2;2000;
Argentina;Buenos Aires;76.1;27/02/2000;2;2000;
Argentina;Buenos Aires;65.7;28/02/2000;2;2000;
Argentina;Buenos Aires;65.8;29/02/2000;2;2000;
Argentina;Buenos Aires;71.2;01/03/2000;3;2000;
Argentina;Buenos Aires;74.3;02/03/2000;3;2000;
Argentina;Buenos Aires;72.4;03/03/2000;3;2000;
Argentina;Buenos Aires;73.7;04/03/2000;3;2000;
Argentina;Buenos Aires;75.5;05/03/2000;3;2000;
Argentina;Buenos Aires;72.6;06/03/2000;3;2000;
Argentina;Buenos Aires;69.0;07/03/2000;3;2000;
Argentina;Buenos Aires;69.5;08/03/2000;3;2000;
Argentina;Buenos Aires;73.0;09/03/2000;3;2000;
